"Bedrijfstakken/branches (SBI 2008)","Perioden","Investeringen in materiële vaste activa (mln euro)"
"B Delfstoffenwinning","2009","1.473,7"
"B Delfstoffenwinning","2010","1.446,4"
"B Delfstoffenwinning","2011","2.873,0"
"B Delfstoffenwinning","2012","1.713,6"
"B Delfstoffenwinning","2013","1.359,5"
"B Delfstoffenwinning","2014","1.946,9"
"B Delfstoffenwinning","2015","2.890,5"
"B Delfstoffenwinning","2016","1.010,0"
"B Delfstoffenwinning","2017","530,5"
"B Delfstoffenwinning","2018","513,5"
"B Delfstoffenwinning","2019*","822,9"
"C Industrie","2009","7.319,2"
"C Industrie","2010","6.104,9"
"C Industrie","2011","7.218,1"
"C Industrie","2012","7.377,7"
"C Industrie","2013","6.924,4"
"C Industrie","2014","7.207,5"
"C Industrie","2015","8.114,3"
"C Industrie","2016","8.059,8"
"C Industrie","2017","8.802,0"
"C Industrie","2018","10.557,1"
"C Industrie","2019*","12.097,6"
"D Energievoorziening","2009","1.906,8"
"D Energievoorziening","2010","3.387,9"
"D Energievoorziening","2011","3.998,7"
"D Energievoorziening","2012","4.552,5"
"D Energievoorziening","2013","5.185,6"
"D Energievoorziening","2014","6.173,4"
"D Energievoorziening","2015","4.485,5"
"D Energievoorziening","2016","2.419,3"
"D Energievoorziening","2017","2.619,1"
"D Energievoorziening","2018","3.033,2"
"D Energievoorziening","2019*","4.328,4"
"E Waterbedrijven en afvalbeheer","2009","1.342,4"
"E Waterbedrijven en afvalbeheer","2010","1.703,4"
"E Waterbedrijven en afvalbeheer","2011","1.824,1"
"E Waterbedrijven en afvalbeheer","2012","996,9"
"E Waterbedrijven en afvalbeheer","2013","842,7"
"E Waterbedrijven en afvalbeheer","2014","937,0"
"E Waterbedrijven en afvalbeheer","2015","1.054,0"
"E Waterbedrijven en afvalbeheer","2016","1.079,2"
"E Waterbedrijven en afvalbeheer","2017","1.018,5"
"E Waterbedrijven en afvalbeheer","2018","1.265,5"
"E Waterbedrijven en afvalbeheer","2019*","1.329,3"
"F Bouwnijverheid","2009","2.030,9"
"F Bouwnijverheid","2010","1.790,4"
"F Bouwnijverheid","2011","2.025,6"
"F Bouwnijverheid","2012","1.700,7"
"F Bouwnijverheid","2013","1.727,3"
"F Bouwnijverheid","2014","1.652,0"
"F Bouwnijverheid","2015","1.945,8"
"F Bouwnijverheid","2016","2.060,4"
"F Bouwnijverheid","2017","2.509,6"
"F Bouwnijverheid","2018","3.203,0"
"F Bouwnijverheid","2019*","4.479,3"
"Bron: CBS."
