"Bedrijfstakken/branches SBI 2008","Perioden","Totaal bedrijven (aantal)","Bedrijfsgrootte 1 werkzaam persoon (aantal)","2 werkzame personen (aantal)","3 tot 5 werkzame personen (aantal)","5 tot 10 werkzame personen (aantal)","10 tot 20 werkzame personen (aantal)","20 tot 50 werkzame personen (aantal)","50 tot 100 werkzame personen (aantal)","Rechtsvorm Natuurlijke personen (aantal)","Rechtspersonen (aantal)"
"A-U Alle economische activiteiten","2021 1e kwartaal*","1.918.945","1.500.665","192.770","91.500","65.445","33.260","20.245","7.125","1.492.585","426.365"
"Business Economy, B-N, excl. K, incl. 95","2021 1e kwartaal*","1.243.155","942.400","134.555","62.750","49.385","26.405","16.525","5.790","970.455","272.700"
"A Landbouw, bosbouw en visserij","2021 1e kwartaal*","76.145","37.410","21.650","11.385","3.520","1.305","670","150","69.065","7.080"
"B-E Nijverheid (geen bouw) en energie","2021 1e kwartaal*","75.075","49.490","7.655","4.435","4.605","3.480","2.745","1.235","51.190","23.885"
"B Delfstoffenwinning","2021 1e kwartaal*","515","375","25","20","25","15","15","15","270","240"
"C Industrie","2021 1e kwartaal*","70.860","46.460","7.335","4.240","4.405","3.350","2.615","1.150","49.270","21.590"
"D Energievoorziening","2021 1e kwartaal*","1.830","1.450","160","80","50","25","25","15","685","1.145"
"E Waterbedrijven en afvalbeheer","2021 1e kwartaal*","1.875","1.210","135","95","125","95","90","55","965","910"
"F Bouwnijverheid","2021 1e kwartaal*","205.510","173.055","15.920","6.235","4.915","2.815","1.680","515","182.005","23.505"
"G-I Handel, vervoer en horeca","2021 1e kwartaal*","367.080","221.125","63.190","33.570","25.820","12.420","7.010","2.175","284.005","83.070"
"G Handel","2021 1e kwartaal*","251.300","156.370","42.925","21.950","15.660","7.250","4.520","1.480","189.430","61.870"
"H Vervoer en opslag","2021 1e kwartaal*","50.750","35.125","6.775","2.960","2.300","1.465","1.225","435","40.570","10.175"
"I Horeca","2021 1e kwartaal*","65.030","29.630","13.490","8.655","7.855","3.705","1.265","260","54.005","11.025"
"J Informatie en communicatie","2021 1e kwartaal*","100.160","82.420","8.250","3.150","2.630","1.710","1.230","425","75.050","25.110"
"K Financiële dienstverlening","2021 1e kwartaal*","95.830","84.940","6.115","2.095","1.440","605","350","110","7.530","88.300"
"L Verhuur en handel van onroerend goed","2021 1e kwartaal*","28.720","20.390","4.385","2.185","1.005","355","210","105","12.705","16.015"
"M-N Zakelijke dienstverlening","2021 1e kwartaal*","457.115","388.260","33.900","12.810","10.275","5.585","3.625","1.330","356.365","100.755"
"M Specialistische zakelijke diensten","2021 1e kwartaal*","371.625","324.275","24.985","8.855","6.890","3.620","1.960","550","288.470","83.155"
"N Verhuur en overige zakelijke diensten","2021 1e kwartaal*","85.490","63.985","8.910","3.960","3.385","1.965","1.665","780","67.895","17.600"
"O-Q Overheid en zorg","2021 1e kwartaal*","284.640","244.240","16.610","8.430","7.165","3.415","1.845","770","256.080","28.560"
"O Openbaar bestuur en overheidsdiensten","2021 1e kwartaal*","825","220","10","15","30","30","35","65","145","680"
"P Onderwijs","2021 1e kwartaal*","104.275","93.915","6.200","1.400","765","550","445","245","97.740","6.535"
"Q Gezondheids- en welzijnszorg","2021 1e kwartaal*","179.540","150.105","10.405","7.015","6.370","2.840","1.365","460","158.195","21.340"
"R-U Cultuur, recreatie, overige diensten","2021 1e kwartaal*","228.670","199.345","15.095","7.210","4.070","1.570","875","310","198.585","30.085"
"R Cultuur, sport en recreatie","2021 1e kwartaal*","116.405","103.375","7.065","2.840","1.630","755","480","155","101.700","14.705"
"S Overige dienstverlening","2021 1e kwartaal*","112.115","95.925","8.010","4.340","2.410","795","385","150","96.870","15.250"
"T Huishoudens","2021 1e kwartaal*","25","20","0","5","0","0","0","0","20","5"
"U Extraterritoriale organisaties","2021 1e kwartaal*","125","25","15","25","30","20","10","0","0","125"
"Bron: CBS."
