"Type gefailleerde","Bedrijfstakken/branches (SBI 2008)","Perioden","Uitgesproken faillissementen (Aantal)"
"Bedrijven, instellingen en eenmanszaken","A-U Alle economische activiteiten","2020 juli","223"
"Bedrijven, instellingen en eenmanszaken","A-U Alle economische activiteiten","2020 augustus","190"
"Bedrijven, instellingen en eenmanszaken","A-U Alle economische activiteiten","2020 september","249"
"Bedrijven, instellingen en eenmanszaken","A-U Alle economische activiteiten","2020 oktober","184"
"Bedrijven, instellingen en eenmanszaken","A-U Alle economische activiteiten","2020 november**","203"
"Bedrijven, instellingen en eenmanszaken","A-U Alle economische activiteiten","2020 december*","200"
"Bedrijven, instellingen en eenmanszaken","A Landbouw, bosbouw en visserij","2020 juli","2"
"Bedrijven, instellingen en eenmanszaken","A Landbouw, bosbouw en visserij","2020 augustus","2"
"Bedrijven, instellingen en eenmanszaken","A Landbouw, bosbouw en visserij","2020 september","0"
"Bedrijven, instellingen en eenmanszaken","A Landbouw, bosbouw en visserij","2020 oktober","3"
"Bedrijven, instellingen en eenmanszaken","A Landbouw, bosbouw en visserij","2020 november**","1"
"Bedrijven, instellingen en eenmanszaken","A Landbouw, bosbouw en visserij","2020 december*","1"
"Bedrijven, instellingen en eenmanszaken","B Delfstoffenwinning","2020 juli","0"
"Bedrijven, instellingen en eenmanszaken","B Delfstoffenwinning","2020 augustus","0"
"Bedrijven, instellingen en eenmanszaken","B Delfstoffenwinning","2020 september","0"
"Bedrijven, instellingen en eenmanszaken","B Delfstoffenwinning","2020 oktober","0"
"Bedrijven, instellingen en eenmanszaken","B Delfstoffenwinning","2020 november**","0"
"Bedrijven, instellingen en eenmanszaken","B Delfstoffenwinning","2020 december*","0"
"Bedrijven, instellingen en eenmanszaken","C Industrie","2020 juli","20"
"Bedrijven, instellingen en eenmanszaken","C Industrie","2020 augustus","14"
"Bedrijven, instellingen en eenmanszaken","C Industrie","2020 september","24"
"Bedrijven, instellingen en eenmanszaken","C Industrie","2020 oktober","15"
"Bedrijven, instellingen en eenmanszaken","C Industrie","2020 november**","13"
"Bedrijven, instellingen en eenmanszaken","C Industrie","2020 december*","12"
"Bedrijven, instellingen en eenmanszaken","D Energievoorziening","2020 juli","0"
"Bedrijven, instellingen en eenmanszaken","D Energievoorziening","2020 augustus","0"
"Bedrijven, instellingen en eenmanszaken","D Energievoorziening","2020 september","2"
"Bedrijven, instellingen en eenmanszaken","D Energievoorziening","2020 oktober","0"
"Bedrijven, instellingen en eenmanszaken","D Energievoorziening","2020 november**","1"
"Bedrijven, instellingen en eenmanszaken","D Energievoorziening","2020 december*","1"
"Bedrijven, instellingen en eenmanszaken","E Waterbedrijven en afvalbeheer","2020 juli","0"
"Bedrijven, instellingen en eenmanszaken","E Waterbedrijven en afvalbeheer","2020 augustus","1"
"Bedrijven, instellingen en eenmanszaken","E Waterbedrijven en afvalbeheer","2020 september","0"
"Bedrijven, instellingen en eenmanszaken","E Waterbedrijven en afvalbeheer","2020 oktober","0"
"Bedrijven, instellingen en eenmanszaken","E Waterbedrijven en afvalbeheer","2020 november**","1"
"Bedrijven, instellingen en eenmanszaken","E Waterbedrijven en afvalbeheer","2020 december*","1"
"Bedrijven, instellingen en eenmanszaken","F Bouwnijverheid","2020 juli","24"
"Bedrijven, instellingen en eenmanszaken","F Bouwnijverheid","2020 augustus","28"
"Bedrijven, instellingen en eenmanszaken","F Bouwnijverheid","2020 september","43"
"Bedrijven, instellingen en eenmanszaken","F Bouwnijverheid","2020 oktober","31"
"Bedrijven, instellingen en eenmanszaken","F Bouwnijverheid","2020 november**","34"
"Bedrijven, instellingen en eenmanszaken","F Bouwnijverheid","2020 december*","36"
"Bedrijven, instellingen en eenmanszaken","G Handel","2020 juli","47"
"Bedrijven, instellingen en eenmanszaken","G Handel","2020 augustus","46"
"Bedrijven, instellingen en eenmanszaken","G Handel","2020 september","51"
"Bedrijven, instellingen en eenmanszaken","G Handel","2020 oktober","35"
"Bedrijven, instellingen en eenmanszaken","G Handel","2020 november**","24"
"Bedrijven, instellingen en eenmanszaken","G Handel","2020 december*","49"
"Bedrijven, instellingen en eenmanszaken","H Vervoer en opslag","2020 juli","9"
"Bedrijven, instellingen en eenmanszaken","H Vervoer en opslag","2020 augustus","12"
"Bedrijven, instellingen en eenmanszaken","H Vervoer en opslag","2020 september","22"
"Bedrijven, instellingen en eenmanszaken","H Vervoer en opslag","2020 oktober","10"
"Bedrijven, instellingen en eenmanszaken","H Vervoer en opslag","2020 november**","18"
"Bedrijven, instellingen en eenmanszaken","H Vervoer en opslag","2020 december*","13"
"Bedrijven, instellingen en eenmanszaken","I Horeca","2020 juli","21"
"Bedrijven, instellingen en eenmanszaken","I Horeca","2020 augustus","12"
"Bedrijven, instellingen en eenmanszaken","I Horeca","2020 september","16"
"Bedrijven, instellingen en eenmanszaken","I Horeca","2020 oktober","15"
"Bedrijven, instellingen en eenmanszaken","I Horeca","2020 november**","15"
"Bedrijven, instellingen en eenmanszaken","I Horeca","2020 december*","20"
"Bedrijven, instellingen en eenmanszaken","J Informatie en communicatie","2020 juli","5"
"Bedrijven, instellingen en eenmanszaken","J Informatie en communicatie","2020 augustus","5"
"Bedrijven, instellingen en eenmanszaken","J Informatie en communicatie","2020 september","7"
"Bedrijven, instellingen en eenmanszaken","J Informatie en communicatie","2020 oktober","5"
"Bedrijven, instellingen en eenmanszaken","J Informatie en communicatie","2020 november**","7"
"Bedrijven, instellingen en eenmanszaken","J Informatie en communicatie","2020 december*","3"
"Bedrijven, instellingen en eenmanszaken","K Financiële dienstverlening","2020 juli","27"
"Bedrijven, instellingen en eenmanszaken","K Financiële dienstverlening","2020 augustus","24"
"Bedrijven, instellingen en eenmanszaken","K Financiële dienstverlening","2020 september","14"
"Bedrijven, instellingen en eenmanszaken","K Financiële dienstverlening","2020 oktober","19"
"Bedrijven, instellingen en eenmanszaken","K Financiële dienstverlening","2020 november**","25"
"Bedrijven, instellingen en eenmanszaken","K Financiële dienstverlening","2020 december*","12"
"Bedrijven, instellingen en eenmanszaken","L Verhuur en handel van onroerend goed","2020 juli","2"
"Bedrijven, instellingen en eenmanszaken","L Verhuur en handel van onroerend goed","2020 augustus","2"
"Bedrijven, instellingen en eenmanszaken","L Verhuur en handel van onroerend goed","2020 september","5"
"Bedrijven, instellingen en eenmanszaken","L Verhuur en handel van onroerend goed","2020 oktober","2"
"Bedrijven, instellingen en eenmanszaken","L Verhuur en handel van onroerend goed","2020 november**","5"
"Bedrijven, instellingen en eenmanszaken","L Verhuur en handel van onroerend goed","2020 december*","3"
"Bedrijven, instellingen en eenmanszaken","M Specialistische zakelijke diensten","2020 juli","26"
"Bedrijven, instellingen en eenmanszaken","M Specialistische zakelijke diensten","2020 augustus","13"
"Bedrijven, instellingen en eenmanszaken","M Specialistische zakelijke diensten","2020 september","23"
"Bedrijven, instellingen en eenmanszaken","M Specialistische zakelijke diensten","2020 oktober","16"
"Bedrijven, instellingen en eenmanszaken","M Specialistische zakelijke diensten","2020 november**","24"
"Bedrijven, instellingen en eenmanszaken","M Specialistische zakelijke diensten","2020 december*","20"
"Bedrijven, instellingen en eenmanszaken","N Verhuur en overige zakelijke diensten","2020 juli","19"
"Bedrijven, instellingen en eenmanszaken","N Verhuur en overige zakelijke diensten","2020 augustus","13"
"Bedrijven, instellingen en eenmanszaken","N Verhuur en overige zakelijke diensten","2020 september","20"
"Bedrijven, instellingen en eenmanszaken","N Verhuur en overige zakelijke diensten","2020 oktober","16"
"Bedrijven, instellingen en eenmanszaken","N Verhuur en overige zakelijke diensten","2020 november**","14"
"Bedrijven, instellingen en eenmanszaken","N Verhuur en overige zakelijke diensten","2020 december*","16"
"Bedrijven, instellingen en eenmanszaken","O Openbaar bestuur en overheidsdiensten","2020 juli","0"
"Bedrijven, instellingen en eenmanszaken","O Openbaar bestuur en overheidsdiensten","2020 augustus","0"
"Bedrijven, instellingen en eenmanszaken","O Openbaar bestuur en overheidsdiensten","2020 september","0"
